status,gene-symbol,UMLS_by_symbol,gene-name,UMLS_by_name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,HTR2C,C1415811,5-hydroxytryptamine receptor 2C,C1415811,,X,"Genetic Association, Functional",3.0,0,0.1,2
9,HTR3A,C1333933,5-hydroxytryptamine (serotonin) receptor 3A,C0036751,,11,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,9
9,HTR3C,C1537390,"5-hydroxytryptamine (serotonin) receptor 3, family member C",C0086282,,3,"Rare Single Gene Mutation, Genetic Association",3.0,0,,8
9,HUWE1,C1537395,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",C1514562,,X,"Rare Single Gene Mutation, Syndromic",,1,,30
9,HYDIN,C1426196,"HYDIN, axonemal central pair apparatus protein",C1426196,,16,"Rare Single Gene Mutation, Genetic Association",2.0,0,,5
9,ICA1,C1415841,islet cell autoantigen 1,C1540100,,7,Rare Single Gene Mutation,2.0,0,,10
9,IGF1,C1334089,insulin like growth factor 1,C0021641,,12,"Rare Single Gene Mutation, Functional",3.0,0,,8
9,IKZF1,C1825588,IKAROS family zinc finger 1,C1825588,,7,Rare Single Gene Mutation,3.0,0,,7
9,IL1R2,C1416396,"interleukin 1 receptor, type II",C0441730,,2,Rare Single Gene Mutation,2.0,0,,8
9,IL1RAPL1,C1416398,interleukin 1 receptor accessory protein-like 1,C1416398,,X,Rare Single Gene Mutation,2.0,0,,32
9,HNRNPL,C1415646,heterogeneous nuclear ribonucleoprotein L,C0019409,,19,Rare Single Gene Mutation,3.0,0,,2
9,IL1RAPL2,C1416399,interleukin 1 receptor accessory protein-like 2,C1416399,,X,"Rare Single Gene Mutation, Genetic Association",2.0,0,,3
9,ILF2,C1416419,Interleukin enhancer binding factor 2,C0527520,,1,Rare Single Gene Mutation,2.0,0,,6
9,IMMP2L,C1422779,IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae),C1422779,,7,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,0,,17
