ID,gene_symbol,Gene title,string_protein_id,uniprot_id,source
1552520_at,TMEM74,transmembrane protein 74,9606.ENSP00000297459,,
1552521_a_at,TMEM74,transmembrane protein 74,9606.ENSP00000297459,,
1552522_at,TIGD4,tigger transposable element derived 4,9606.ENSP00000355162,,
1552523_a_at,TIGD4,tigger transposable element derived 4,9606.ENSP00000355162,,
1552524_at,ART5,ADP-ribosyltransferase 5,9606.ENSP00000352992,,
1552526_at,FAM71C,family with sequence similarity 71 member C,9606.ENSP00000315247,,
1552528_at,LINC01547,long intergenic non-protein coding RNA 1547,,,
1552531_a_at,NLRP11,NLR family pyrin domain containing 11,9606.ENSP00000466285,,
1552532_a_at,ATP6V1C2,ATPase H+ transporting V1 subunit C2,9606.ENSP00000272238,,
1552535_at,CLDN19,claudin 19,9606.ENSP00000296387,,
1552536_at,VTI1A,vesicle transport through interaction with t-SNAREs 1A,9606.ENSP00000376792,,
1552538_a_at,KIF6,kinesin family member 6,9606.ENSP00000287152,,
1552540_s_at,IQCD,IQ motif containing D,9606.ENSP00000400669,,
1552541_at,TAGAP,T-cell activation RhoGTPase activating protein,9606.ENSP00000356033,,
1552542_s_at,TAGAP,T-cell activation RhoGTPase activating protein,9606.ENSP00000356033,,
1552543_a_at,STON2,stonin 2,9606.ENSP00000450857,,
1552544_at,SERPINA12,serpin family A member 12,9606.ENSP00000342109,,
1552546_a_at,LETM2,leucine zipper and EF-hand containing transmembrane protein 2,9606.ENSP00000369291,,
1552548_at,BSND,barttin CLCNK type accessory beta subunit,9606.ENSP00000498282,,
1552549_a_at,BSND,barttin CLCNK type accessory beta subunit,9606.ENSP00000498282,,
1552552_s_at,CLEC4C,C-type lectin domain family 4 member C,9606.ENSP00000440428,,
1552553_a_at,NLRC4,NLR family CARD domain containing 4,9606.ENSP00000385428,,
1552554_a_at,NLRC4,NLR family CARD domain containing 4,9606.ENSP00000385428,,
1552555_at,PRSS36,"protease, serine 36",9606.ENSP00000268281,,
1552557_a_at,ZDHHC15,zinc finger DHHC-type containing 15,9606.ENSP00000362465,,
1552558_a_at,RAI1,retinoic acid induced 1,9606.ENSP00000323074,,
1552558_a_at,RAI1,retinoic acid induced 1,9606.ENSP00000364498,,
1552558_a_at,RAI1,retinoic acid induced 1,9606.ENSP00000450580,,
1552559_a_at,CDK15,cyclin dependent kinase 15,9606.ENSP00000406472,,
1552562_at,ZNF570,zinc finger protein 570,9606.ENSP00000467218,,
1552564_at,NUDT9P1,nudix hydrolase 9 pseudogene 1,,,
1552566_at,BTBD16,BTB domain containing 16,9606.ENSP00000260723,,
1552568_at,RTP3,receptor transporter protein 3,9606.ENSP00000296142,,
1552569_a_at,RTP3,receptor transporter protein 3,9606.ENSP00000296142,,
1552570_at,TSPEAR,thrombospondin type laminin G domain and EAR repeats,9606.ENSP00000321987,,
1552572_a_at,MIPOL1,mirror-image polydactyly 1,9606.ENSP00000333539,,
1552573_s_at,MIPOL1,mirror-image polydactyly 1,9606.ENSP00000333539,,
1552575_a_at,C6orf141,chromosome 6 open reading frame 141,9606.ENSP00000434602,,
1552576_at,ALMS1P1,"ALMS1, centrosome and basal body associated protein pseudogene 1",,,
1552578_a_at,MYO3B,myosin IIIB,9606.ENSP00000386213,,
1552579_a_at,ADAM21,ADAM metallopeptidase domain 21,9606.ENSP00000474385,,
1552580_at,TRIML2,tripartite motif family like 2,9606.ENSP00000422581,,
1552582_at,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene),,,
1552583_s_at,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene),,,
1552584_at,IL12RB1,interleukin 12 receptor subunit beta 1,9606.ENSP00000470788,,
1552585_s_at,GTF2A1L,general transcription factor IIA subunit 1 like,9606.ENSP00000378236,,
1552585_s_at,GTF2A1L,general transcription factor IIA subunit 1 like,9606.ENSP00000384597,,
1552586_at,TRPV3,transient receptor potential cation channel subfamily V member 3,9606.ENSP00000301365,,
1552587_at,CNBD1,cyclic nucleotide binding domain containing 1,9606.ENSP00000430073,,
1552588_a_at,CNBD1,cyclic nucleotide binding domain containing 1,9606.ENSP00000430073,,
1552590_a_at,ABCC12,ATP binding cassette subfamily C member 12,9606.ENSP00000311030,,
1552592_at,MMP21,matrix metallopeptidase 21,9606.ENSP00000348308,,
1552592_at,MMP21,matrix metallopeptidase 21,9606.ENSP00000357798,,
1552594_at,TMEM190,transmembrane protein 190,9606.ENSP00000291934,,
1552596_at,GAS2L2,growth arrest specific 2 like 2,9606.ENSP00000474529,,
1552598_at,KCNG4,potassium voltage-gated channel modifier subfamily G member 4,9606.ENSP00000312129,,
1552599_at,PXT1,"peroxisomal, testis specific 1",9606.ENSP00000419944,,
1552602_at,CACNG5,calcium voltage-gated channel auxiliary subunit gamma 5,9606.ENSP00000436836,,
1552604_at,LINC00308,long intergenic non-protein coding RNA 308,,,
1552605_s_at,LINC00308,long intergenic non-protein coding RNA 308,,,
1552607_at,FAM223B,family with sequence similarity 223 member A (non-protein coding)///family with sequence similarity 223 member B (non-protein coding),,,
1552608_at,WFDC11,WAP four-disulfide core domain 11,9606.ENSP00000348968,,
1552609_s_at,IFNL2,interferon lambda 3///interferon lambda 2,9606.ENSP00000333639,,
1552610_a_at,JAK1,Janus kinase 1,9606.ENSP00000499900,,
1552611_a_at,JAK1,Janus kinase 1,9606.ENSP00000499900,,
1552612_at,CDC42SE2,CDC42 small effector 2,9606.ENSP00000427421,,
1552613_s_at,CDC42SE2,CDC42 small effector 2,9606.ENSP00000427421,,
1552615_at,ACACB,acetyl-CoA carboxylase beta,9606.ENSP00000341044,,
1552616_a_at,ACACB,acetyl-CoA carboxylase beta,9606.ENSP00000341044,,
1552617_a_at,RFWD2,ring finger and WD repeat domain 2,9606.ENSP00000356641,,
1552618_at,STX6,syntaxin 6,9606.ENSP00000258301,,
1552619_a_at,ANLN,anillin actin binding protein,9606.ENSP00000265748,,
1552620_at,SPRR4,small proline rich protein 4,9606.ENSP00000332163,,
1552621_at,POLR2J,uroplakin 3B-like///RNA polymerase II subunit J3///RNA polymerase II subunit J2///RNA polymerase II subunit J,9606.ENSP00000292614,,
1552622_s_at,POLR2J,"uroplakin 3B-like///RNA polymerase II subunit J3///PMS1 homolog 2, mismatch repair system component pseudogene///RNA polymerase II subunit J2///RNA polymerase II subunit J",9606.ENSP00000292614,,
1552623_at,HSH2D,hematopoietic SH2 domain containing,9606.ENSP00000482604,,
1552625_a_at,TRNT1,tRNA nucleotidyl transferase 1,9606.ENSP00000251607,,
1552626_a_at,TMEM163,transmembrane protein 163,9606.ENSP00000281924,,
1552627_a_at,ARHGAP5,Rho GTPase activating protein 5,9606.ENSP00000371897,,
1552628_a_at,HERPUD2,HERPUD family member 2,9606.ENSP00000379390,,
1552629_a_at,JMJD6,arginine demethylase and lysine hydroxylase,9606.ENSP00000394085,,
1552630_a_at,SRCAP,Snf2-related CREBBP activator protein,9606.ENSP00000262518,,
1552631_a_at,MAP3K6,mitogen-activated protein kinase kinase kinase 6,9606.ENSP00000350195,,
1552632_a_at,ARSG,arylsulfatase G,9606.ENSP00000407193,,
1552633_at,ZNF101,zinc finger protein 101,9606.ENSP00000468049,,
1552634_a_at,ZNF101,zinc finger protein 101,9606.ENSP00000468049,,
1552637_at,PTPN11,"protein tyrosine phosphatase, non-receptor type 11",9606.ENSP00000489597,,
1552639_at,KLHDC7B,kelch domain containing 7B,9606.ENSP00000497256,,
1552641_s_at,ATAD3A,"ATPase family, AAA domain containing 3B///ATPase family, AAA domain containing 3A",9606.ENSP00000368030,,
1552643_at,ZNF626,zinc finger protein 626,9606.ENSP00000469958,,
1552644_a_at,PHC3,polyhomeotic homolog 3,9606.ENSP00000420294,,
1552646_at,IL11RA,interleukin 11 receptor subunit alpha,9606.ENSP00000450565,,
1552648_a_at,TNFRSF10A,TNF receptor superfamily member 10a,9606.ENSP00000221132,,
1552649_a_at,RFFL,RAD51L3-RFFL readthrough///ring finger and FYVE-like domain containing E3 ubiquitin protein ligase,9606.ENSP00000326170,,
1552651_a_at,RFFL,RAD51L3-RFFL readthrough///ring finger and FYVE-like domain containing E3 ubiquitin protein ligase,9606.ENSP00000326170,,
1552652_at,HPS4,"HPS4, biogenesis of lysosomal organelles complex 3 subunit 2",9606.ENSP00000381213,,
1552656_s_at,UHMK1,U2AF homology motif (UHM) kinase 1,9606.ENSP00000420270,,
1552657_a_at,TXNDC2,thioredoxin domain containing 2,9606.ENSP00000304908,,
1552658_a_at,NAV3,neuron navigator 3,9606.ENSP00000381007,,
1552660_a_at,C5orf22,chromosome 5 open reading frame 22,9606.ENSP00000326879,,
1552661_at,PCDHGB7,"protocadherin gamma subfamily B, 7",9606.ENSP00000381594,,
1552662_a_at,PCDHGB7,"protocadherin gamma subfamily B, 7",9606.ENSP00000381594,,
1552663_a_at,ERC1,ELKS/RAB6-interacting/CAST family member 1,9606.ENSP00000354158,,
1552664_at,FLCN,folliculin,9606.ENSP00000285071,,
1552665_at,JMJD1C-AS1,JMJD1C antisense RNA 1,,,
1552666_a_at,LRRC7,leucine rich repeat containing 7,9606.ENSP00000309245,,
1552667_a_at,SH2D3C,SH2 domain containing 3C,9606.ENSP00000317817,,
1552669_at,PPP1R3B,protein phosphatase 1 regulatory subunit 3B,9606.ENSP00000308318,,
1552670_a_at,PPP1R3B,protein phosphatase 1 regulatory subunit 3B,9606.ENSP00000308318,,
1552671_a_at,SLC9A7,solute carrier family 9 member A7,9606.ENSP00000480916,,
1552672_a_at,IGSF3,immunoglobulin superfamily member 3,9606.ENSP00000358495,,
1552673_at,RFX6,regulatory factor X6,9606.ENSP00000332208,,
1552674_at,DIRC1,disrupted in renal carcinoma 1,9606.ENSP00000307860,,
1552675_at,DNAJB7,DnaJ heat shock protein family (Hsp40) member B7,9606.ENSP00000307197,,
1552676_at,UCN3,urocortin 3,9606.ENSP00000369798,,
1552677_a_at,DIP2A,disco interacting protein 2 homolog A,9606.ENSP00000392066,,
1552678_a_at,USP28,ubiquitin specific peptidase 28,9606.ENSP00000003302,,
1552680_a_at,KNL1,kinetochore scaffold 1,9606.ENSP00000335463,,
