phenotype_id,phenotype_label,source
HP:0003327,Axial muscle weakness,Monarch
HP:0003391,Gowers sign,Monarch
HP:0003418,Back pain,Monarch
HP:0003458,EMG: myopathic abnormalities,Monarch
HP:0003484,Upper limb muscle weakness,Monarch
HP:0003547,Shoulder girdle muscle weakness,Monarch
HP:0003551,Difficulty climbing stairs,Monarch
HP:0003555,Muscle fiber splitting,Monarch
HP:0003557,Increased variability in muscle fiber diameter,Monarch
HP:0003560,Muscular dystrophy,Monarch
HP:0003642,Type I transferrin isoform profile,Monarch
HP:0003687,Centrally nucleated skeletal muscle fibers,Monarch
HP:0003691,Scapular winging,Monarch
HP:0003700,Generalized amyotrophy,Monarch
HP:0003701,Proximal muscle weakness,Monarch
HP:0003704,Scapuloperoneal weakness,Monarch
HP:0003712,Skeletal muscle hypertrophy,Monarch
HP:0003713,Muscle fiber necrosis,Monarch
HP:0003722,Neck flexor weakness,Monarch
HP:0003724,Shoulder girdle muscle atrophy,Monarch
HP:0003738,Exercise-induced myalgia,Monarch
HP:0003749,Pelvic girdle muscle weakness,Monarch
HP:0003803,Type 1 muscle fiber predominance,Monarch
HP:0003805,Rimmed vacuoles,Monarch
HP:0004303,Abnormal muscle fiber morphology,Monarch
HP:0004887,Respiratory failure requiring assisted ventilation,Monarch
HP:0005991,Limited neck flexion,Monarch
HP:0006094,Finger joint hypermobility,Monarch
HP:0006380,Knee flexion contracture,Monarch
HP:0006466,Ankle flexion contracture,Monarch
HP:0006785,Limb-girdle muscular dystrophy,Monarch
HP:0006888,Meningoencephalocele,Monarch
HP:0007033,Cerebellar dysplasia,Monarch
HP:0007063,Aplasia of the inferior half of the cerebellar vermis,Monarch
HP:0007126,Proximal amyotrophy,Monarch
HP:0007141,Sensorimotor neuropathy,Monarch
HP:0007210,Lower limb amyotrophy,Monarch
HP:0007260,Type II lissencephaly,Monarch
HP:0007340,Lower limb muscle weakness,Monarch
HP:0007502,Follicular hyperkeratosis,Monarch
HP:0007957,Corneal opacity,Monarch
HP:0007973,Retinal dysplasia,Monarch
HP:0008066,Abnormal blistering of the skin,Monarch
HP:0008404,Nail dystrophy,Monarch
HP:0008872,Feeding difficulties in infancy,Monarch
HP:0008944,Distal lower limb amyotrophy,Monarch
HP:0008954,Intrinsic hand muscle atrophy,Monarch
HP:0008956,Proximal lower limb amyotrophy,Monarch
HP:0008981,Calf muscle hypertrophy,Monarch
HP:0008994,Proximal lower limb muscle weakness,Monarch
HP:0008997,Proximal upper limb muscle weakness,Monarch
HP:0009027,Foot dorsiflexor weakness,Monarch
